电影,Movie,City,Premiere Country,Premiere year,Source,
刺杀,Assassins,New York ,USA,1990,,
阿伊达, Aida,,Egypt,1871,,
Q大道 ,Avenue Q,New York ,USA,2003,,
海上情缘, Anything Goes,,USA,1934,,
美女与野兽 ,Beauty and the Beast,Texas,USA,1993,,
舞动人生 ,Billy Elliot,London,England,2005,,
兄弟情仇, Blood Brothers,London,England,1983,,
摩门之书 ,The Book of Mormon,New York ,USA,2011,,
澳洲之子 ,The Boy from Oz,New York ,USA,2003,,
	猫,Cats,London,England,1980,,
酒店,Cabaret,New York ,USA,1966,,
棋王 ,Chess,London,England,1986,,
天上人间,Carousel,New York ,USA,1945,,
芝加哥, Chicago!,New York ,USA,1975,,
歌舞线上, A Chorus Line,New York ,USA,1975,,
伙伴们 ,Company,London,England,1970,,
为你疯狂 ,Crazy for You,"Washington, D.C",USA,1992,,
伊丽莎白 ,Elisabeth,Vienna,Austria,1992,,
艾薇塔贝隆夫人,Evita,London,England,1978,,
	屋顶上的提琴手, The Fiddler On The Roof,New York ,USA,1964,,
	油脂,Grease,Chicago,USA,1971,,
红男绿女 ,Guys and Dolls,New York ,USA,1950,,
	越战毛发, Hair,New York ,USA,1967,,
平步青云 ,How To Succeed In Business Without Really Trying,,USA,1961,,
迪士尼-钟楼怪人 ,Hunchback of Notre Dame,Berlin,Germany,1999,,
汉密尔顿 ,Hamilton,New York ,USA,2015,,
	步入森林 拜访森林,Into the Woods,San Diego,USA,1986,,
身在高地 ,In The Heights,CT,USA,2005,,
	变身怪医 ,Jeckyll and Hyde,New York ,USA,1997,,
四季男孩 ,Jersey Boys,San Diego,USA,2005,,
耶稣基督超级巨星,Jesus Christ the Superstar,New York ,USA,1971,,
约瑟夫的神奇彩衣, Joseph and the Amazing Technicolor Dreamcoat,Toronto,Canada,1968,,
	国王与我, The King And I,New York ,USA,1951,,
靓佬揾靴著, Kinky Boots,Chicago,USA,2012,,
	狮子王, The Lion King,Minneapolis,USA,1997,,
小王子,Le Petit Prince,Paris,France,2002,,
歌剧魅影续集:真爱不灭 ,Love Never Dies,London,England,2010,,
	妈妈咪呀！ ,Mamma Mia!,London,England,1999,,
唐吉诃德,Man of la Mancha,New York ,USA,1965,,
孟菲斯, Memphis,New York ,USA,2002,,
悲惨世界,Les Misérables,Paris,France,1980,,
西贡小姐 ,Miss Saigon,Newcastle,England,1989,,
窈窕淑女 ,My Fair Lady,New York ,USA,1956,,
摇滚莫札特 ,Mozart l'Opera Rock,Paris,France,2009,,
	近乎正常,Next to Normal,Amsterdam,The Netherlands,2008,,
巴黎圣母院,Notre Dame de Paris,,French,1998,,
报业神童 ,Newsies,New Jersey,USA,2011,,
华丽年代 ,Nine,Berlin,Germany,1982,,
	俄荷拉马,Oklahoma!,New York ,USA,1943,,
一奏倾情 ,Once,New York ,USA,2011,,
	太平洋序曲 ,Pacific Overture,New York ,USA,1976,,
歌剧魅影,The Phantom of the Opera,London,England,1986,,
波吉和贝丝,Porgy and Bess,Boston,USA,1935,https://zh.wikipedia.org/wiki/%E9%9F%B3%E6%A8%82%E5%8A%87,
金牌制作人, The Producer,New York ,USA,2001,,
丕平正传 ,Pippin,New York ,USA,1972,,
吉屋出租, Rent,New York ,USA,1994,,
罗密欧与茱丽叶, Roméo et Juliette,Paris,France,2001,,
太阳王 ,Le Roi Soleil,,France,2005,,
	雨中曲,Singing in the Rain,London,England,1983,,
演艺船,Showboat,New York ,USA,1927,,
音乐之声,The Sound of Music,New York ,USA,1959,,
南太平洋, South Pacific,New York ,USA,1949,,
春光乍现,Spring Awakening,New York ,USA,2006,,
与佐治在公园的星期天,Sunday in the Park with George,New York ,USA,1984,,
理发师陶德,Sweeney Todd,New York ,USA,1979,,
史瑞克,Shrek,New York ,USA,2008,,
	吸血鬼之舞 ,Tanz der Vampire/Dance of the Vampires,Vienna,Austria,1997,,
	西区故事 ,West Side Story,New York ,USA,1957,,
女巫前传 ,Wicked,San Francisco,USA,2003,,
绿野仙踪 ,The Wizard of Oz,Los Angele,USA,1939,,
