Country,Submissions,Average Salary ($),0-3yrs XP ($),4-7yrs XP ($),8-12yrs XP ($),13+yrs XP ($)
All Countries,3034,54588,42316,53054,66438,90832
Afghanistan,1,79080,,79080,,
Albania,3,8238,5292,10000,9422,
Argentina,31,17107,13082,16289,24381,42000
Armenia,4,17908,20133,11232,,
Australia,63,77595,55747,82727,91699,101362
Austria,15,54488,44247,62077,58646,
Bangladesh,8,8827,6370,10982,16800,
Belarus,11,27673,,18400,38800,
Belgium,23,47339,40086,56311,54766,62422
Belize,1,22000,22000,,,
Bolivia Plurinational State of,4,9659,,9659,,
Brazil,101,21280,13972,20407,23664,31417
Bulgaria,19,29626,5960,23922,39768,
Canada,99,60372,46243,58665,71416,76407
Chile,21,31454,21892,25845,33910,65520
China,15,44419,26228,43074,94724,
Colombia,31,19467,11407,20044,24072,
Costa Rica,8,28575,22760,24000,45399,
Côte d’Ivoire,1,68311,,68311,,
Croatia,9,25718,13906,26810,33000,
Cyprus,3,31773,6500,58502,30316,
Czech Republic,26,37944,23643,42218,49138,65995
Denmark,20,71304,59341,82968,84689,53155
Dominican Republic,6,11879,9528,16581,,
Ecuador,5,16200,17250,12000,,
Egypt,13,5085,3301,6116,1160,
El Salvador,3,15400,,15400,,
Estonia,10,37499,39865,37752,,
Finland,22,60084,36919,52977,74425,88961
France,72,51595,44587,53403,70739,42989
Germany,220,60268,50108,60803,72354,83798
Gibraltar,2,57825,,64250,51400,
Greece,16,20035,16292,23442,18256,29350
Guernsey,1,22502,,22502,,
Honduras,1,15000,15000,,,
Hong Kong,14,48579,34310,59427,46284,
Hungary,41,31403,24646,29093,43616,26325
India,152,21579,15981,20749,32021,34059
Indonesia,19,11904,7827,12385,23772,
Iran Islamic Republic of,4,17330,13000,13000,21660,
Ireland,27,63295,41867,66424,74151,116599
Israel,25,63941,42204,66204,83919,
Italy,40,39439,33121,38524,48762,42400
Japan,5,74401,27270,86184,,
Jordan,2,46722,8533,,84910,
Kazakhstan,1,8000,8000,,,
Kenya,1,11616,,11616,,
Korea Republic of,6,30966,28787,,41860,
Kuwait,1,47408,,47408,,
Latvia,9,26934,17103,42076,30667,
Lebanon,2,37000,,34000,40000,
Lithuania,15,24137,13859,29639,21772,25911
Luxembourg,4,70158,,66140,,
Macedonia the Former Yugoslav Republic of,2,26110,,20000,32219,
Malaysia,24,20391,12103,22769,26496,
Malta,5,45616,44084,45999,,
Mauritius,3,20362,19108,,22870,
Mayotte,1,16790,,16790,,
Mexico,32,19951,16094,22243,25722,
Moldova Republic of,3,11057,10814,11178,,
Montenegro,2,7067,7067,,,
Morocco,1,1006,1006,,,
Nepal,6,38417,13250,6000,66000,
Netherlands,81,50416,38999,54308,62873,77341
New Zealand,12,71426,58617,70603,83833,96408
Nicaragua,3,10943,,14940,2950,
Nigeria,6,13518,17361,10342,8340,
Norway,13,76114,57098,71477,90171,100123
Pakistan,12,9265,6424,9294,23299,
Palestine State of,6,20167,10000,23850,15600,
Panama,1,26400,,26400,,
Peru,8,25967,14781,31200,,22177
Philippines,19,12756,12321,10476,19385,
Poland,150,26946,19265,30705,36332,18429
Portugal,34,26306,17382,29968,36659,
Qatar,6,56778,59327,69580,72510,
Romania,41,28039,19713,26327,37460,39868
Russian Federation,38,22260,12696,24103,20840,
Saudi Arabia,9,35853,36596,15998,48153,47993
Serbia,11,20170,13858,17239,27836,
Singapore,31,48556,44390,45891,46035,
Slovakia,10,29553,21571,23769,30622,79146
Slovenia,8,24583,19722,26500,40044,24733
South Africa,17,39695,23687,48024,44043,
Spain,73,41136,30883,43988,42542,53294
Sri Lanka,2,18234,,24013,12454,
Swaziland,1,56759,56759,,,
Sweden,52,53364,43434,60461,57207,69377
Switzerland,41,102614,81793,100958,129238,116048
Syrian Arab Republic,1,2700,,2700,,
Taiwan Province of China,6,28705,21217,35123,38330,
Thailand,13,24830,17893,31564,29549,55404
Tunisia,2,9045,5788,12302,,
Turkey,21,20130,12497,22851,24000,27578
Ukraine,36,25952,22549,26415,30578,
United Arab Emirates,12,65152,44923,41710,77268,89301
United Kingdom,186,61682,41866,59585,77123,83604
United States,714,96384,77171,98198,110052,123447
Uruguay,6,37516,26644,39187,40446,
Uzbekistan,1,18640,,18640,,
Venezuela Bolivarian Republic of,1,1200,1200,,,
Viet Nam,15,15837,13042,19200,,36500
Lisha Dai,,,,51235.96,,
